cluster,location_geometry
41,"POLYGON ((34.26175841 -118.52616341, 34.25882674 -118.52814767, 34.25911479 -118.52788565, 34.26175841 -118.52616341))"
42,"POLYGON ((34.20095926 -118.56719035, 34.20313 -118.56569222, 34.20602641 -118.56689452, 34.20610399 -118.56714053, 34.20653016 -118.5685046, 34.20108423 -118.56722922, 34.20095926 -118.56719035))"
43,"POLYGON ((34.2058628 -118.57922963, 34.20164812 -118.57528104, 34.20179549 -118.57401561, 34.20677269 -118.57294441, 34.20885509 -118.57391185, 34.20986143 -118.57459238, 34.2098372 -118.5747382, 34.20864425 -118.57797883, 34.2082 -118.57891, 34.2058628 -118.57922963))"
44,"POLYGON ((34.18466951 -118.5669582, 34.1832048 -118.56577531, 34.18324033 -118.56560455, 34.18403836 -118.56227362, 34.18677294 -118.5610977, 34.18685045 -118.56120144, 34.18681203 -118.56395641, 34.18466951 -118.5669582))"
45,"POLYGON ((34.21904835 -118.58794928, 34.21407237 -118.58938929, 34.21418543 -118.58909938, 34.21607043 -118.58632955, 34.21904835 -118.58794928))"
46,"POLYGON ((34.18591232 -118.57328296, 34.18596663 -118.57937786, 34.18082381 -118.57730336, 34.182962 -118.574516, 34.18324683 -118.57427764, 34.18451864 -118.57353707, 34.18591232 -118.57328296))"
47,"POLYGON ((34.16914122 -118.57164686, 34.1715577 -118.5725348, 34.17032115 -118.5738248, 34.16594541 -118.57625099, 34.16760159 -118.57294435, 34.16887486 -118.57184103, 34.16914122 -118.57164686))"
48,"POLYGON ((34.20093853 -118.59500388, 34.20242936 -118.59457026, 34.20242508 -118.59476519, 34.20232698 -118.59480781, 34.20093853 -118.59500388))"
49,"POLYGON ((34.19278918 -118.60461634, 34.18708805 -118.60541188, 34.18878045 -118.60264163, 34.18974686 -118.60244001, 34.1913312 -118.60296744, 34.19278918 -118.60461634))"
50,"POLYGON ((34.17378655 -118.60923772, 34.16398188 -118.60352633, 34.17010899 -118.59916175, 34.1813245 -118.5959959, 34.190219 -118.59607, 34.18167606 -118.60383759, 34.17378655 -118.60923772))"
51,"POLYGON ((34.18214825 -118.61102187, 34.1808825 -118.61022458, 34.1825976 -118.60796492, 34.18260962 -118.60799901, 34.18274247 -118.61067253, 34.18214825 -118.61102187))"
52,"POLYGON ((34.17217765 -118.61335516, 34.16787 -118.617995, 34.16626764 -118.61587812, 34.17217765 -118.61335516))"
53,"POLYGON ((34.18213178 -118.63180406, 34.1820946 -118.6386237, 34.17498744 -118.63494703, 34.17321392 -118.63393295, 34.167651 -118.63036925, 34.18069358 -118.63118523, 34.18213178 -118.63180406))"
54,"POLYGON ((34.1613865 -118.6301655, 34.16297725 -118.63166442, 34.16005755 -118.63164748, 34.1598197 -118.63153542, 34.15974661 -118.63145529, 34.1613865 -118.6301655))"
55,"POLYGON ((34.188662 -118.63948113, 34.18540433 -118.63151254, 34.18877331 -118.62691289, 34.18920909 -118.63654378, 34.18904262 -118.63767735, 34.188662 -118.63948113))"
56,"POLYGON ((34.19131083 -118.62599031, 34.18914568 -118.62260308, 34.19393327 -118.61941316, 34.20132856 -118.62052204, 34.20162574 -118.62094942, 34.19989714 -118.62430804, 34.19987841 -118.62433855, 34.19986433 -118.62434509, 34.19646 -118.625509, 34.1952 -118.6257412, 34.19131083 -118.62599031))"
57,"POLYGON ((34.16930906 -118.6469707, 34.16761198 -118.64182541, 34.16998434 -118.64138055, 34.17046503 -118.64141093, 34.17094258 -118.64207385, 34.17177298 -118.64470866, 34.17165499 -118.64525199, 34.17082313 -118.64648706, 34.16930906 -118.6469707))"
58,"POLYGON ((34.20853636 -118.63257683, 34.20919452 -118.63634021, 34.20796008 -118.63590182, 34.20853636 -118.63257683))"
59,"POLYGON ((34.20598298 -118.64924799, 34.20475136 -118.64937102, 34.2045348 -118.64906128, 34.20438771 -118.64874506, 34.20492088 -118.64884298, 34.20598298 -118.64924799))"
60,"POLYGON ((34.20826375 -118.66201462, 34.20571675 -118.65677868, 34.20776607 -118.65688842, 34.20826375 -118.66201462))"
61,"POLYGON ((34.22105026 -118.57238007, 34.21861616 -118.57284794, 34.21857256 -118.57284111, 34.21856137 -118.5728045, 34.2193422 -118.5674971, 34.2195406 -118.56765, 34.22121299 -118.5711107, 34.22105026 -118.57238007))"
62,"POLYGON ((34.2615607 -118.5047459, 34.25792085 -118.50234353, 34.25862713 -118.50088201, 34.262574 -118.4984281, 34.26264739 -118.49839545, 34.26295953 -118.49931268, 34.26358102 -118.50175567, 34.2615607 -118.5047459))"
63,"POLYGON ((34.29661014 -118.52169226, 34.29648194 -118.52164499, 34.29655859 -118.52150182, 34.29667464 -118.52168896, 34.29667467 -118.52168922, 34.29667237 -118.52168998, 34.29661014 -118.52169226))"
